cluster_index	ATTRIBUTE_diet	ATTRIBUTE_HostSpecies	ATTRIBUTE_SampleType	Compound_Name	GNPSLibraryURL	MassDiff	MQScore	MZErrorPPM	precursor_mass	RTConsensus
1777	"omnivores,Wash,herbivores,carnivores,Fruit,Plants,Pellets,Meat,QC"	"Zebra,Lion,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Fruit,Pellets,Leopard,Capuchin,Tiger,Wash,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Wash,Food"	NA	NA	NA	NA	NA	116.9712	0.6063
1778	"omnivores,herbivores,carnivores,Plants,Meat,QC"	"Zebra,Lion,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Leopard,Capuchin,Tiger,Lemur,Goat,Bear,Mandrill,Plants,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	475.302	5.9344
1779	"carnivores,QC"	"QC,Tiger"	Feces	NA	NA	NA	NA	NA	535.398	7.4166
1780	QC	QC	Feces	NA	NA	NA	NA	NA	967.7814	13.4717
1781	"omnivores,herbivores,carnivores,QC"	"Lion,Sheep,Chimp,Coati,Rhino,Wolf,QC,Hyena,Leopard,Capuchin,Tiger,Lemur,Goat,Bear,Mandrill,CarnivorousCat,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	550.2821	3.9531
1782	"omnivores,herbivores,carnivores,QC"	"Zebra,Sheep,Chimp,Rhino,Wolf,QC,Elephant,Hyena,Goat,Mandrill,CarnivorousCat,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	616.5447	10.5676
1783	"omnivores,herbivores,carnivores,QC"	"Zebra,Sheep,Chimp,Rhino,Donkey,Wolf,QC,Elephant,Goat,Mandrill,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	546.4664	7.8646
1784	"omnivores,herbivores,Pellets,Meat,QC"	"Zebra,Sheep,QC,Elephant,Pellets,Goat,Mandrill,Gibbon,Meat"	"Feces,Food"	NA	NA	NA	NA	NA	535.4735	10.0161
1785	"omnivores,herbivores,carnivores,QC"	"Zebra,Lion,Sheep,Chimp,Coati,Rhino,Donkey,Wolf,QC,Elephant,Hyena,Leopard,Tiger,Lemur,Goat,Bear,Mandrill,CarnivorousCat,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	662.4775	7.811
1786	"omnivores,herbivores,Fruit,Pellets,Straw,Meat,QC"	"Zebra,Straw,Sheep,Chimp,Rhino,QC,Elephant,Fruit,Pellets,Lemur,Goat,Mandrill,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	642.5234	9.9124
1787	"omnivores,herbivores,QC"	"Zebra,Sheep,Chimp,Coati,Rhino,Donkey,QC,Elephant,Mandrill,Gorilla"	Feces	NA	NA	NA	NA	NA	645.558	6.3777
1788	"omnivores,herbivores,Plants,QC"	"Sheep,Chimp,QC,Capuchin,Bear,Plants,Gibbon"	"Feces,Food"	NA	NA	NA	NA	NA	918.7169	11.411
1789	"omnivores,herbivores,Straw,QC"	"Zebra,Straw,Sheep,Chimp,Rhino,QC,Elephant,Goat,Mandrill,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	524.4687	6.9988
1790	"omnivores,herbivores,carnivores,QC"	"Zebra,Sheep,Chimp,Rhino,Wolf,QC,Elephant,Tiger,Goat,Mandrill,CarnivorousCat,Gibbon,Gorilla"	Feces	NA	NA	NA	NA	NA	600.5135	9.6021
1791	"omnivores,herbivores,carnivores,Meat,QC"	"Lion,Sheep,Chimp,Coati,Wolf,QC,Hyena,Leopard,Tiger,Bear,Mandrill,CarnivorousCat,Gibbon,Meat,Gorilla"	"Feces,Food"	NA	NA	NA	NA	NA	425.2468	1.59
