cluster_index	ATTRIBUTE_diet	ATTRIBUTE_HostSpecies	ATTRIBUTE_SampleType	Compound_Name	MassDiff	MQScore	MZErrorPPM	precursor_mass	RTConsensus
571	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	L-CARNITINE	0.00230408	0.987065	14.213	162.1123	0.5719
572	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	258.2787	2.8701
573	"Straw,Meat,Blank,Plants,Fruit"	"Fruit,Plants,Straw,Meat,Blank"	Food	NA	NA	NA	NA	286.1758	0.5705
574	"Straw,Pellets,omnivores,herbivores,Plants"	"Sheep,Gibbon,Pellets,Coati,Lemur,Bear,Elephant,Chimp,Plants,Straw,Gorilla"	"Feces,Food"	NA	NA	NA	NA	537.3027	2.3261
575	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit"	"Wash,Capuchin,Pellets,Fruit,Plants,Straw,Gorilla,Meat,Blank,QC"	"Wash,Feces,Food"	NA	NA	NA	NA	301.1406	2.3066
576	"Straw,Pellets,Meat,Blank,Plants,Fruit,carnivores"	"Leopard,Pellets,Wolf,Tiger,Fruit,Plants,Lion,Straw,Meat,CarnivorousCat,Blank"	"Feces,Food"	NA	NA	NA	NA	556.3627	0.9197
577	"omnivores,herbivores,QC,Plants,carnivores"	"Rhino,Goat,Sheep,Gibbon,Capuchin,Coati,Lemur,Tiger,Bear,Elephant,Chimp,Mandrill,Plants,Gorilla,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	601.424	5.0386
578	"Straw,Pellets,Meat,omnivores,Blank,QC,Plants,Fruit,carnivores"	"Hyena,Leopard,Pellets,Wolf,Coati,Tiger,Fruit,Mandrill,Plants,Lion,Straw,Meat,CarnivorousCat,Blank,QC"	"Feces,Food"	NA	NA	NA	NA	1221.8472	1.8652
579	"Straw,omnivores,herbivores,Plants,Fruit"	"Rhino,Lemur,Fruit,Plants,Straw,Gorilla"	"Feces,Food"	NA	NA	NA	NA	233.0628	0.5792
580	"omnivores,herbivores,QC,Plants,carnivores"	"Rhino,Goat,Sheep,Gibbon,Coati,Lemur,Tiger,Bear,Elephant,Chimp,Mandrill,Plants,Gorilla,CarnivorousCat,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	601.4243	4.696
581	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Tiger,Bear,Fruit,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	473.2398	1.8615
582	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	1383.9481	11.011
583	"Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Feces,Food"	NA	NA	NA	NA	1216.7482	9.8214
584	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	850.7832	15.3844
585	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Rhino,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	135.0027	0.6031
586	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	820.7362	14.8687
587	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	796.7365	15.0763
588	"Wash,Straw,Pellets,Meat,omnivores,herbivores,Blank,QC,Plants,Fruit,carnivores"	"Wash,Donkey,Rhino,Goat,Hyena,Leopard,Sheep,Gibbon,Capuchin,Pellets,Wolf,Coati,Lemur,Tiger,Bear,Fruit,Elephant,Chimp,Mandrill,Plants,Lion,Straw,Gorilla,Meat,CarnivorousCat,Blank,QC,Zebra"	"Wash,Feces,Food"	NA	NA	NA	NA	872.768	14.8713
